,Unnamed: 0,AC_AREA,CLOUD_SCORE,COVERAGE_SCORE,Country,DATE,DGO_FID,ID_AOI_all,MEAN_AC_MNDWI,MEAN_AC_NDVI,MEAN_MNDWI,MEAN_NDVI,MEAN_VEGETATION_MNDWI,MEAN_VEGETATION_NDVI,MEAN_WATER_MNDWI,POI_ID,SCALE,VEGETATION_AREA,VEGETATION_PERIMETER,VEGETATION_POLYGONS,VEGETATION_POLYGONS_p0,VEGETATION_POLYGONS_p10,VEGETATION_POLYGONS_p100,VEGETATION_POLYGONS_p20,VEGETATION_POLYGONS_p30,VEGETATION_POLYGONS_p40,VEGETATION_POLYGONS_p50,VEGETATION_POLYGONS_p60,VEGETATION_POLYGONS_p70,VEGETATION_POLYGONS_p80,VEGETATION_POLYGONS_p90,WATER_AREA,WATER_PERIMETER,WATER_POLYGONS,WATER_POLYGONS_p0,WATER_POLYGONS_p10,WATER_POLYGONS_p100,WATER_POLYGONS_p20,WATER_POLYGONS_p30,WATER_POLYGONS_p40,WATER_POLYGONS_p50,WATER_POLYGONS_p60,WATER_POLYGONS_p70,WATER_POLYGONS_p80,WATER_POLYGONS_p90,length
985,985,2708.0,0.0,100.0,AMS,2020-10-30,CHL10,40AMS,-0.1929342687002711,0.1195414864263263,-0.412758409766455,0.4453869996043686,-0.4425639571281183,0.4855304931897765,-0.0357598759528141,CHL10,10,13787.0,13424.766317986365,1,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,13787.0,305.0,2392.461823072879,10,1.0,1.5,135.0,2.0,7.0,14.0,21.5,29.0,34.0,39.5,88.5,2275
986,986,2605.0,0.0,100.0,AMS,2020-10-30,CHL10,40AMS,-0.1847877440336088,0.1223415151556606,-0.4059646532297347,0.4459855340855232,-0.4340089341661941,0.4829143439953935,-0.0207581775489502,CHL10,10,13892.0,13505.5018754397,1,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,13892.0,294.0,2365.616784356294,11,1.0,2.0,131.0,4.0,5.0,13.0,14.0,23.0,32.0,34.0,35.0,2275
987,987,2769.0,0.0,100.0,AMS,2020-11-09,CHL10,40AMS,-0.1855454425152176,0.1216224331683658,-0.3971943694190775,0.4472137563829263,-0.4265783836787595,0.4880238729067269,-0.0118193747474996,CHL10,10,13765.0,13687.345289999275,1,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,13765.0,301.0,2258.0792534828115,9,1.0,1.0,143.0,2.0,3.0,20.0,26.0,29.0,38.0,39.0,143.0,2275
988,988,2786.0,0.0,100.0,AMS,2020-11-09,CHL10,40AMS,-0.182833114255786,0.1207232769427873,-0.3936510702114113,0.4465183858938428,-0.4231120730775276,0.4873248066155028,-0.0148343701953852,CHL10,10,13777.0,13808.600254180166,2,1.0,1.0,13776.0,1.0,1.0,1.0,6888.5,13776.0,13776.0,13776.0,13776.0,337.0,2491.3964348193945,11,1.0,1.0,141.0,1.0,2.0,4.0,18.0,27.0,36.0,48.0,58.0,2275
989,989,2614.0,0.0,100.0,AMS,2020-11-14,CHL10,40AMS,-0.2056249188356931,0.1239683711692846,-0.4111100964787359,0.4531096357026666,-0.4375027695442225,0.4900069503330019,-0.0393497886507007,CHL10,10,13885.0,13242.448562440248,1,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,13885.0,205.0,1577.315768476327,7,1.0,1.0,121.0,1.0,2.0,2.0,20.0,29.0,29.0,31.0,121.0,2275
990,990,2734.0,0.0,100.0,AMS,2020-11-29,CHL10,40AMS,-0.2155527038004753,0.1318425074085665,-0.409695370850532,0.4447710069866902,-0.4355987463310711,0.4821060465182589,-0.0380546215103743,CHL10,10,13795.0,13675.209093341004,1,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,13795.0,161.0,1226.1454048437968,5,1.0,1.0,107.0,1.5,2.0,12.5,23.0,25.5,28.0,67.5,107.0,2275
991,991,2791.0,0.0,100.0,AMS,2020-11-29,CHL10,40AMS,-0.2118900376957307,0.129081715308018,-0.4048692119644008,0.4422847596972722,-0.4313531213597579,0.4813032228488386,-0.0300405988972108,CHL10,10,13739.0,14079.80858074206,1,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,13739.0,164.0,1188.9442338740969,4,1.0,1.0,110.0,1.0,23.0,23.0,26.5,30.0,30.0,110.0,110.0,2275
992,992,2570.0,0.0,100.0,AMS,2020-12-04,CHL10,40AMS,-0.2201532386510492,0.1375829623520554,-0.4096641988193183,0.4469340431314809,-0.4313653222951039,0.4781657213738429,-0.0428229608973152,CHL10,10,14026.0,13029.849573147423,1,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,14026.0,81.0,786.2377886218869,5,1.0,1.0,31.0,7.5,14.0,14.5,15.0,17.5,20.0,25.5,31.0,2275
993,993,2538.0,0.0,100.0,AMS,2020-12-09,CHL10,40AMS,-0.2068848788127602,0.1387905283970488,-0.4035142401381443,0.4480620939973242,-0.4259538019592028,0.4793550034223182,-0.0087041071777925,CHL10,10,14006.0,12922.532810272009,1,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,14006.0,71.0,666.0531549877583,4,1.0,1.0,29.0,1.0,16.0,16.0,20.5,25.0,25.0,29.0,29.0,2275
994,994,2600.0,0.0,100.0,AMS,2020-12-09,CHL10,40AMS,-0.203995696637691,0.1392422215829618,-0.3987528945171907,0.4459101147198884,-0.422247767218618,0.4790057609662378,-0.003525621829627,CHL10,10,13944.0,13375.78461761316,1,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,13944.0,75.0,827.8496486135717,7,1.0,1.0,27.0,1.0,1.0,1.0,5.0,16.0,16.0,24.0,27.0,2275
995,995,2449.0,0.0,100.0,AMS,2020-12-24,CHL10,40AMS,-0.220932814241285,0.1402918627422839,-0.4213987176561508,0.451642218952702,-0.4428863485394609,0.481407916704319,-0.059861106181856,CHL10,10,14078.0,13094.473605044574,1,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,14078.0,54.0,554.7596874020902,4,1.0,1.0,22.0,1.0,11.0,11.0,15.5,20.0,20.0,22.0,22.0,2275
996,996,2539.0,0.0,100.0,AMS,2020-12-29,CHL10,40AMS,-0.2142159495180751,0.1357434140090757,-0.4113024933498713,0.445716166131433,-0.4347845786813107,0.4793967795038832,-0.0096285922643607,CHL10,10,13921.0,13837.25312498178,1,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,13921.0,66.0,684.5335581891276,5,1.0,1.0,27.0,1.5,2.0,8.5,15.0,18.0,21.0,24.0,27.0,2275
997,997,10394.0,93.0,100.0,AMS,2021-02-17,CHL10,40AMS,0.1404586330079704,0.0320715206310254,0.021211679063735,0.1539452009796776,-0.2143493913795176,0.380594129643852,0.1735338590803858,CHL10,10,5645.0,6315.498654965646,1,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,5645.0,9066.0,6246.574350501629,9,1.0,1.0,8877.0,1.0,3.0,6.0,7.0,10.0,28.0,133.0,8877.0,2275
998,998,10365.0,88.0,100.0,AMS,2021-02-17,CHL10,40AMS,0.1258919427113621,0.0404249922570313,0.0223310638069414,0.1543057343360628,-0.1787544860380683,0.3624948324664687,0.1549409124952589,CHL10,10,5756.0,6323.112788510577,1,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,5756.0,9053.0,6583.030866376971,5,1.0,1.0,8823.0,15.0,29.0,47.5,66.0,100.0,134.0,4478.5,8823.0,2275
999,999,2236.0,0.0,100.0,AMS,2021-03-29,CHL10,40AMS,-0.2305781386594083,0.1384330636971015,-0.4380390940147845,0.4365754432359425,-0.4580025791240801,0.4631148931864821,-0.0607979502867899,CHL10,10,14135.0,12593.499446376443,1,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,14135.0,27.0,313.773893840126,3,1.0,1.0,19.0,1.0,1.0,7.0,7.0,7.0,19.0,19.0,19.0,2275
1000,1000,2011.0,1.0,100.0,AMS,2021-05-23,CHL10,40AMS,-0.1582244360199142,0.076767708242947,-0.4356135404556093,0.4409981580580705,-0.4660632165923317,0.4810506063380576,-0.0730232456452639,CHL10,10,13917.0,12678.543807093576,4,4.0,4.0,13894.0,4.0,8.0,8.0,9.5,11.0,11.0,13894.0,13894.0,574.0,3868.158673992148,11,1.0,1.0,145.0,2.0,14.0,28.0,56.0,71.0,74.0,75.0,107.0,2275
1001,1001,1788.0,1.0,100.0,AMS,2021-05-28,CHL10,40AMS,-0.1032550936561606,0.0596182346121162,-0.430519387469835,0.4547973194289614,-0.4638774221271881,0.4943971893747694,0.0194466977331012,CHL10,10,14017.0,11949.336010131225,3,4.0,4.0,14005.0,4.0,4.0,8.0,8.0,8.0,14005.0,14005.0,14005.0,689.0,4077.881532208706,7,1.0,1.0,267.0,20.0,28.0,28.0,104.0,108.0,108.0,161.0,267.0,2275
